"","scale_free","small_world","sf_homophilic"
"Girvan-Newman VS Random Groups",0.687907257358175,0.38270660198397,0.323230302457712
"Girvan-Newman VS Mentor Matching",0.634798471845968,0.298214177137506,0.371182740364556
"Mentor Matching VS Random Groups",0.361985833476095,0.344418484500473,0.366022302562269
